Datetime,Date,Hour,Station,AQHI,RiskCategory,Hour_of_Day,Day_of_Week
2025-01-01 00:00:00,2025-01-01,1,Central/Western,6.0,Moderate,0,2
2025-01-01 01:00:00,2025-01-01,2,Central/Western,7.0,High,1,2
2025-01-01 02:00:00,2025-01-01,3,Central/Western,7.0,High,2,2
2025-01-01 03:00:00,2025-01-01,4,Central/Western,6.0,Moderate,3,2
2025-01-01 04:00:00,2025-01-01,5,Central/Western,5.0,Moderate,4,2
2025-01-01 05:00:00,2025-01-01,6,Central/Western,5.0,Moderate,5,2
2025-01-01 06:00:00,2025-01-01,7,Central/Western,5.0,Moderate,6,2
2025-01-01 07:00:00,2025-01-01,8,Central/Western,5.0,Moderate,7,2
2025-01-01 08:00:00,2025-01-01,9,Central/Western,5.0,Moderate,8,2
2025-01-01 09:00:00,2025-01-01,10,Central/Western,5.0,Moderate,9,2
2025-01-01 10:00:00,2025-01-01,11,Central/Western,5.0,Moderate,10,2
2025-01-01 11:00:00,2025-01-01,12,Central/Western,5.0,Moderate,11,2
2025-01-01 12:00:00,2025-01-01,13,Central/Western,5.0,Moderate,12,2
2025-01-01 13:00:00,2025-01-01,14,Central/Western,5.0,Moderate,13,2
2025-01-01 14:00:00,2025-01-01,15,Central/Western,6.0,Moderate,14,2
2025-01-01 15:00:00,2025-01-01,16,Central/Western,5.0,Moderate,15,2
2025-01-01 16:00:00,2025-01-01,17,Central/Western,5.0,Moderate,16,2
2025-01-01 17:00:00,2025-01-01,18,Central/Western,5.0,Moderate,17,2
2025-01-01 18:00:00,2025-01-01,19,Central/Western,5.0,Moderate,18,2
2025-01-01 19:00:00,2025-01-01,20,Central/Western,5.0,Moderate,19,2
2025-01-01 20:00:00,2025-01-01,21,Central/Western,5.0,Moderate,20,2
2025-01-01 21:00:00,2025-01-01,22,Central/Western,5.0,Moderate,21,2
2025-01-01 22:00:00,2025-01-01,23,Central/Western,5.0,Moderate,22,2
2025-01-01 23:00:00,2025-01-01,24,Central/Western,5.0,Moderate,23,2
2025-01-01 23:00:00,2025-01-01,24,Central/Western,7.0,High,23,2
2025-01-02 00:00:00,2025-01-02,1,Central/Western,5.0,Moderate,0,3
2025-01-02 01:00:00,2025-01-02,2,Central/Western,5.0,Moderate,1,3
2025-01-02 02:00:00,2025-01-02,3,Central/Western,5.0,Moderate,2,3
2025-01-02 03:00:00,2025-01-02,4,Central/Western,5.0,Moderate,3,3
2025-01-02 04:00:00,2025-01-02,5,Central/Western,5.0,Moderate,4,3
2025-01-02 05:00:00,2025-01-02,6,Central/Western,5.0,Moderate,5,3
2025-01-02 06:00:00,2025-01-02,7,Central/Western,5.0,Moderate,6,3
2025-01-02 07:00:00,2025-01-02,8,Central/Western,5.0,Moderate,7,3
2025-01-02 08:00:00,2025-01-02,9,Central/Western,5.0,Moderate,8,3
2025-01-02 09:00:00,2025-01-02,10,Central/Western,5.0,Moderate,9,3
2025-01-02 10:00:00,2025-01-02,11,Central/Western,5.0,Moderate,10,3
2025-01-02 11:00:00,2025-01-02,12,Central/Western,5.0,Moderate,11,3
2025-01-02 12:00:00,2025-01-02,13,Central/Western,5.0,Moderate,12,3
2025-01-02 13:00:00,2025-01-02,14,Central/Western,6.0,Moderate,13,3
2025-01-02 14:00:00,2025-01-02,15,Central/Western,6.0,Moderate,14,3
2025-01-02 15:00:00,2025-01-02,16,Central/Western,6.0,Moderate,15,3
2025-01-02 16:00:00,2025-01-02,17,Central/Western,6.0,Moderate,16,3
2025-01-02 17:00:00,2025-01-02,18,Central/Western,6.0,Moderate,17,3
2025-01-02 18:00:00,2025-01-02,19,Central/Western,6.0,Moderate,18,3
2025-01-02 19:00:00,2025-01-02,20,Central/Western,6.0,Moderate,19,3
2025-01-02 20:00:00,2025-01-02,21,Central/Western,6.0,Moderate,20,3
2025-01-02 21:00:00,2025-01-02,22,Central/Western,6.0,Moderate,21,3
2025-01-02 22:00:00,2025-01-02,23,Central/Western,6.0,Moderate,22,3
2025-01-02 23:00:00,2025-01-02,24,Central/Western,6.0,Moderate,23,3
2025-01-02 23:00:00,2025-01-02,24,Central/Western,6.0,Moderate,23,3
2025-01-03 00:00:00,2025-01-03,1,Central/Western,6.0,Moderate,0,4
2025-01-03 01:00:00,2025-01-03,2,Central/Western,5.0,Moderate,1,4
2025-01-03 02:00:00,2025-01-03,3,Central/Western,5.0,Moderate,2,4
2025-01-03 03:00:00,2025-01-03,4,Central/Western,5.0,Moderate,3,4
2025-01-03 04:00:00,2025-01-03,5,Central/Western,5.0,Moderate,4,4
2025-01-03 05:00:00,2025-01-03,6,Central/Western,5.0,Moderate,5,4
2025-01-03 06:00:00,2025-01-03,7,Central/Western,4.0,Moderate,6,4
2025-01-03 07:00:00,2025-01-03,8,Central/Western,4.0,Moderate,7,4
2025-01-03 08:00:00,2025-01-03,9,Central/Western,4.0,Moderate,8,4
2025-01-03 09:00:00,2025-01-03,10,Central/Western,5.0,Moderate,9,4
2025-01-03 10:00:00,2025-01-03,11,Central/Western,5.0,Moderate,10,4
2025-01-03 11:00:00,2025-01-03,12,Central/Western,5.0,Moderate,11,4
2025-01-03 12:00:00,2025-01-03,13,Central/Western,6.0,Moderate,12,4
2025-01-03 13:00:00,2025-01-03,14,Central/Western,6.0,Moderate,13,4
2025-01-03 14:00:00,2025-01-03,15,Central/Western,6.0,Moderate,14,4
2025-01-03 15:00:00,2025-01-03,16,Central/Western,6.0,Moderate,15,4
2025-01-03 16:00:00,2025-01-03,17,Central/Western,6.0,Moderate,16,4
2025-01-03 17:00:00,2025-01-03,18,Central/Western,6.0,Moderate,17,4
2025-01-03 18:00:00,2025-01-03,19,Central/Western,6.0,Moderate,18,4
2025-01-03 19:00:00,2025-01-03,20,Central/Western,6.0,Moderate,19,4
2025-01-03 20:00:00,2025-01-03,21,Central/Western,6.0,Moderate,20,4
2025-01-03 21:00:00,2025-01-03,22,Central/Western,6.0,Moderate,21,4
2025-01-03 22:00:00,2025-01-03,23,Central/Western,6.0,Moderate,22,4
2025-01-03 23:00:00,2025-01-03,24,Central/Western,6.0,Moderate,23,4
2025-01-03 23:00:00,2025-01-03,24,Central/Western,6.0,Moderate,23,4
2025-01-04 00:00:00,2025-01-04,1,Central/Western,6.0,Moderate,0,5
2025-01-04 01:00:00,2025-01-04,2,Central/Western,5.0,Moderate,1,5
2025-01-04 02:00:00,2025-01-04,3,Central/Western,5.0,Moderate,2,5
2025-01-04 03:00:00,2025-01-04,4,Central/Western,5.0,Moderate,3,5
2025-01-04 04:00:00,2025-01-04,5,Central/Western,4.0,Moderate,4,5
2025-01-04 05:00:00,2025-01-04,6,Central/Western,4.0,Moderate,5,5
